act_id,cus_id,act_opn_ym
8e1a987ebef2a3374ba558aeda4c7821de7808a11cfea1e149438ae91f1d4c79,892f41b5002a79c9c93992acf60682f5698372aea023bda68d942687109ae8ab,197912
eb161b66263589c3f38efd2277cec2a9a81e1ffa0a5255931265d35f4b064b67,006ad32069efb2a8ce1a99542dfe41cb14e8e75685278a3ce127ab83d04fbafa,198702
01866857515304e9e1315e54863cc1108e1d46fff0d467fe1d405b96a06ece0c,1925ed2d8ed2cad53997f5b24722482137c4d1da4b555e9217722a3b3397f9ab,199109
63a58b0fee2fa4dc467c043fde465846b65705659497c5e627b43247b221a143,7829365dc463ed8275c8b92518d58b3c8d983f00f7bf87ba7e567981e13a1f3a,199401
b563fb76d3d432d67198f194701ca67e895da4c2f24e8ea94ea24583286c3e90,36e05dde058cf7531bd4001ed3b976ef9562a9ecd9f43df4a4b159da18dfea07,199404
1f27eba90952bc73234c4f23371c5259e7cded486464d2de4dc10421157ce2d2,21468fbf60a09ff57945f45bf08a8c9d939f9807576f88c305750f26ed1a586a,199412
7a17f4d4f4061e1f7d2bd55fd642338600941b1a10811cbf8280f84c29df7d9d,05fe2e22b81f22d87da5257a0ed9988ea5964779c59687cbd955660131bda904,199507
528c57da32e19c56978842a1989ee147e9ce331f4e626439f12a2671aa9175ec,1c03bed00155e6ae705477d7931b649631e2e23acada21b4a041b477702ff582,199508
d346de008eb31ae24b3dbbce7fa239819d598978c0572f0bba0f97b7a9e6a975,36b8901d6c88bc410c2dfcaa92d75a82b4dc2fdfd1b1fdd9a5942836a9c98ad6,199508
de62f72aff1c97c614a2b592c63d83b3f26989f840ff1a24cee41bdf9fe57f07,03c1b7dd28046f67937717a2e5b3bb3f4f0f919c779226c705b95f3e1b5d95d4,199601
45dc57684cd9e46be72d86c678efaa25db1820590e33e30186dccd46b32b0251,37486f0dc6ea9b295e97deb645d3b35bc0963b23534c9385d3844723c60e00f1,199603
2ab2a00d854e88b76c6a7196bde12c867b0ae1694d6bad1d263fcfea91bff2e3,24b94546b2cbbe32dc17ebe2c8c0993a7f2a421db7d7ee9a3505dba7cbc28529,199706
8740d1ebf2679234a312be4361a03951b26280365450ed7e05df4db3f89edb73,bd711952f556b8c4c089bbad7a96dbfbdc30a1ca6c256709eccae292b329f1da,199111
60fdc34e3259b8689b3e42ed95f0a307cbd6bfa29cbdb1761d01dcf4c0c2ff87,8cbe71bc55819a7730aa7444980b80708e2316fc7bb7d0c9f14b43def5c4a122,199112
7147541b23b135ab639d27aeb24ed6891e3a13da6532a135ca67f6801cdb7952,b8f7d415cde14115f5aaed05e7d3ca486c8ee7c97d703d9e7f763c7e0b5fb6dc,199210
4e08affe13ec9fc915052c1168898a01a0a4e32e1e074a0233b20723297713b0,607b5194a54ec30991a86a4dee5a6e2a85924244fde2e0047d4917db2e93452f,199311
9b8655d4b60d29cf6ae6b852ddd296f47139816c4fa8fdf84c6b7945244529c6,5b4bd1d5fa738513eb1697b4687b0cc29e1eb275e2cbbf2228a1138063b2b910,199311
eb722eb19becfad8dcbe17021960a1c3d7244da9cb56a16cd35523811e437c35,af887d5a0db31c53f761ea4ac34d33afa8572d892b2809ae5c97cdde78fe973e,199911
fb9608faba475eab8ff30d77fa5e982b4648f8d104e12cabc5edaed08f388899,567c66835b226be19ed630c2d5403e50fd79efbeea4c02b5e63cd71dbb9b0844,200003
e887e329e8182fa75327c36d4c2c47a5027c1e8f4bcd640ff6e54565001ba77f,74b15c945b91c970182731a6c09e5b82e72d88b64e89049d20edbfc037648e5d,200502
1ba5fc8fb46bd08be129620bc37f605fb4303c2edccf495b4c89a22afab4d119,7534ab66f26ec8a5620d280391dcca1c9329a62b0c93a1b63e3a30eed2a1e554,199911
1e5c0307c8beae4968dd9fe36109af9ba817501bd110c122bd129a202392df9b,e00d7e46ddb9ac10582db8c9702209a7845e1b09ee85b7b06a603e6f27dd26ca,199904
6337bd948c4a755b833d5c0c55d51e8409c2e447b3791eca3c0db61153175522,e00d7e46ddb9ac10582db8c9702209a7845e1b09ee85b7b06a603e6f27dd26ca,199907
ef10920175321b91e9beaa4f9553408a6ae17251c482e40ec6e77bdc572ed998,e4223f73b180f204007ed9c7e793459d446399021d7752a41d513e0587711573,199907
5b3889f86956410b1839267b0a838b00c23b7b8ffa2403df24d7ce108e177b7b,af6c30a7114d32e2ba7c5cad8094d902520c26a2b599381a91b1ee7a524e89a5,199909
86790f4d38a2d0cfd0d4880adfa331bfb0aec7cdffba96f3910c884ec063e028,f8bea289a09e97c361310782bb4b3d6c81e4373eaecafd37ca7097e0dfc8d412,199911
a55259864402fd6095a2bec8c26a91c580ee0e09c2262e86e3195951aebab0b5,b4ab293452136d5b586217a923c1d4e74efc4e9dd0b1c6126afde47f6710cd8a,200001
0fb6321cfca5cd714d9023598ffee336c36b9b1342d13bec1169bebf50866dd5,de6b954bfa52df1f9d18a78b81a20b78843d138c6b5743a5811cccd02cbbadb7,200002
11dfb5c20287b793b36efc35cf5c915b70721cfc094a7681cbdc391dee9504f5,bdd2ef49d86adb251e4ed5596f6f70457b84f8627c1d70728f5d4852f412bfdf,200004
eae80ab2c015749236811352de939b1d5d78a564ad15e80da749b0077d52e7d8,892f41b5002a79c9c93992acf60682f5698372aea023bda68d942687109ae8ab,200004
